Address,Latitude,Longitude,Price,Postcode,Postcode District,Crime Rate,Income
"St. Dunstan's House, Fetter Lane, EC4A",51.5142794,-0.1101911,2750000.0,EC4A 2HR,EC4A 2,4.0,70900.0
"Pinks Mews, Holborn, EC1N",51.5178267,-0.1099753,915000.0,EC1N 2LE,EC1N 2,4.0,38500.0
"Essex Street, Temple, London, WC2R",51.5126376,-0.1128241,1400000.0,WC2R 3JF,WC2R 3,1.0,70900.0
"Essex Street, London, WC2R",51.5126376,-0.1128241,2750000.0,WC2R 3JF,WC2R 3,37.0,70900.0
"Moor Lane, London, EC2Y",51.5193151,-0.0902713,2750000.0,EC2Y 9AP,EC2Y 9,37.0,45200.0
"Crane Court, London, EC4A",51.5145412,-0.1092391,625000.0,EC4A 2EJ,EC4A 2,37.0,70900.0
"Ludgate Square, London, .",51.5135677,-0.1015583,450000.0,EC4V 5BR,EC4V 5,37.0,42300.0
"Middlesex Street, Spitalfields",51.5166462,-0.0768367,525000.0,E1 7LB,E1 7,37.0,46800.0
"The Heron, Moor Lane",51.5199554,-0.0901117999999999,1300000.0,EC2Y 9AP,EC2Y 9,7.0,45200.0
"Queens Quay, 58 Upper Thames Street, EC4V",51.5106493,-0.0955299,625000.0,EC4V 3EH,EC4V 3,3.0,52300.0
"The Strand, The Strand, London, WC2R",51.5112517,-0.1192243,515000.0,WC2E 7DN,WC2E 7,37.0,70900.0
"Marlyn Lodge, Portsoken Street, E1",51.5119049,-0.0734982,1075000.0,E1 8RB,E1 8,1.0,41200.0
"Crane Court, London, EC4A",51.5145412,-0.1092391,425000.0,EC4A 2EJ,EC4A 2,1.0,70900.0
"The Westin, Upper Thames St, London, EC4V",51.5108896,-0.095222,375000.0,EC4V 3AD,EC4V 3,8.0,52300.0
"Seddon House, Barbican, London, EC2Y",51.5191215,-0.0968154,6250000.0,EC2Y 8BY,EC2Y 8,7.0,42300.0
"The Westin, Upper Thames St, London, EC4V",51.5108896,-0.095222,795000.0,EC4V 3AD,EC4V 3,37.0,52300.0
"The Westin, Upper Thames St, London, EC4V",51.5108896,-0.095222,6250000.0,EC4V 3AD,EC4V 3,7.0,52300.0
"Underwood Building, Barts Sqaure, London, EC1A",51.51749599999999,-0.1000463,4230000.0,EC1A 7BS,EC1A 7,1.0,42300.0
"4 Crane Court, London, EC4A",51.5144314,-0.1091186,810000.0,EC4A 2EJ,EC4A 2,1.0,70900.0
"Pinks Mews, 1-6 Dyer's Buildings, EC1N",51.5178267,-0.1099753,450000.0,EC1N 2LE,EC1N 2,37.0,38500.0
"Pinks Mews, 1-6 Dyer's Buildings, EC1N",51.5178267,-0.1099753,1550000.0,EC1N 2LE,EC1N 2,3.0,38500.0
"Pinks Mews, 1-6 Dyer's Buildings, EC1N",51.5178267,-0.1099753,1495000.0,EC1N 2LE,EC1N 2,3.0,38500.0
"Pinks Mews, Holborn, EC1N",51.5178267,-0.1099753,1595000.0,EC1N 2LE,EC1N 2,1.0,38500.0
"The Heron, EC2Y",51.519804,-0.0897984999999999,1450000.0,EC2Y 9AR,EC2Y 9,1.0,45200.0
"Barbican, Ben Jonson House",51.5208843,-0.0940756,1325000.0,EC2Y 8NB,EC2Y 8,7.0,42300.0
"Dyer's Building, Pink Mews, EC1N",51.5178267,-0.1099753,750000.0,EC1N 2LE,EC1N 2,37.0,38500.0
"133-137 Fetter Lane, London, EC4A",51.51491610000001,-0.1100122,1400000.0,EC4A 1BT,EC4A 1,4.0,70900.0
"Temple Avenue, London, EC4Y",51.5111469,-0.1080072,4400000.0,EC4Y 0DS,EC4Y 0,7.0,70900.0
"Petticoat Square, London E1",51.5160389,-0.0765059,1400000.0,E1 7DA,E1 7,9.0,46800.0
"Pepys Street, London, EC3N",51.5107641,-0.0780099,540000.0,EC3N 4AF,EC3N 4,4.0,45100.0
"Moor Lane, Moorgate",51.5170923,-0.0887609,545000.0,EC2R 6EJ,EC2R 6,1.0,46800.0
"The Heron, Moor Lane, EC2Y",51.5199554,-0.0901117999999999,1800000.0,EC2Y 9AP,EC2Y 9,5.0,45200.0
"Ludgate Square, St. Pauls",51.5135677,-0.1015583,625000.0,EC4V 5BR,EC4V 5,4.0,42300.0
"Vicary House, Barts Square EC1A",51.5182071,-0.0985597999999999,750000.0,EC1A 7BB,EC1A 7,1.0,42300.0
"Cliffords Inn, Fetter Lane, London",51.5143699,-0.1097018,880000.0,EC4A 2HG,EC4A 2,1.0,70900.0
"Great Tower Street, London EC3",51.510019,-0.0815071,2360000.0,EC3R 5AR,EC3R 5,19.0,45100.0
"Great Tower Street, London, EC3R",51.5098264,-0.080974,1700000.0,EC3R 5AR,EC3R 5,2.0,45100.0
"Fetter Lane, Holborn, EC4A",51.5160581,-0.1092154,1700000.0,EC4A 1ES,EC4A 1,37.0,70900.0
"75 Little Britain, London, EC1A",51.5168996,-0.0981112,750000.0,EC1A 7DH,EC1A 7,37.0,42300.0
"Water Lane, Sugar Quay, EC3R",51.50867830000001,-0.0809694,555000.0,EC3R 6AP,EC3R 6,3.0,45100.0
"Pepys Street, City Of London, EC3N",51.5107641,-0.0780099,4750000.0,EC3N 4AF,EC3N 4,7.0,45100.0
"Sugar Quay, City, London, EC3R",51.5084948,-0.0807668,1415000.0,EC3R 6AP,EC3R 6,7.0,45100.0
"The Westin, London City EC4V",51.5108896,-0.095222,4750000.0,EC4V 3AD,EC4V 3,7.0,52300.0
"Sugar Quay, 1 Water Lane, London, EC3R",51.50867830000001,-0.0809694,4605000.0,EC3R 6AP,EC3R 6,1.0,45100.0
"Crane Court, Fleet Street, London",51.5141292,-0.1092151,4750000.0,EC4Y 1BJ,EC4Y 1,19.0,70900.0
"The Heron,  Moor Lane, London",51.5199554,-0.0901117999999999,395000.0,EC2Y 9AP,EC2Y 9,37.0,45200.0
"West Smithfield, City, London, EC1A",51.5183449,-0.1029578,1350000.0,EC1A 9LF,EC1A 9,9.0,42300.0
"Norfolk House, Trig Lane, London, EC4V",51.5106896,-0.0972022,1100000.0,EC4V 3QQ,EC4V 3,1.0,52300.0
"Bartholemew Close, Farringdon, London, EC1A",51.5182419,-0.0990134,400000.0,EC1A 7BB,EC1A 7,8.0,42300.0
"Brooke Street Apartments, London, EC1N",51.5187999,-0.1105767,50000.0,EC1N 7RS,EC1N 7,1.0,38500.0
"The Westin, London City EC4V",51.5108896,-0.095222,1060000.0,EC4V 3AD,EC4V 3,8.0,52300.0
4-7 Red Lion Court London EC4A,51.5146034,-0.1088373,6655000.0,EC4A 3EB,EC4A 3,1.0,70900.0
"3 Ludgate Square, St Pauls, London",51.51353030000001,-0.1016095,2205000.0,EC4V 5BR,EC4V 5,37.0,42300.0
"Principal Tower, Principal Place,  Shoreditch, EC2A",51.5220985,-0.0788474,725000.0,EC2A 3BG,EC2A 3,35.0,46800.0
"Amen Lodge, Warwick Lane, London",51.5146702,-0.1008931,1400000.0,EC4M 7DA,EC4M 7,64.0,42300.0
"Lothbury, EC2R",51.5147302,-0.0891206,1420000.0,EC2R 7HD,EC2R 7,39.0,46800.0
"Dyer's Building, Pink Mews, EC1N",51.5178267,-0.1099753,2350000.0,EC1N 2LE,EC1N 2,37.0,38500.0
"St Dunstan's House, Fetter Lane, EC4A",51.5142794,-0.1101911,2120000.0,EC4A 2HR,EC4A 2,36.0,70900.0
"Defoe House, Barbican, London, EC2Y",51.52009289999999,-0.0957111,1375000.0,EC2Y 8DN,EC2Y 8,35.0,42300.0
Moor Lane London EC2Y,51.5193151,-0.0902713,1995000.0,EC2Y 9AP,EC2Y 9,39.0,45200.0
"80 Houndsditch,London",51.5164309,-0.0804310999999999,600000.0,EC2M 4LL,EC2M 4,38.0,46800.0
"80 Houndsditch,London",51.5164309,-0.0804310999999999,2000000.0,EC2M 4LL,EC2M 4,31.0,46800.0
"Moor Lane, Moorgate, London, EC2Y",51.5193151,-0.0902713,3800000.0,EC2Y 9AP,EC2Y 9,39.0,45200.0
"Vicary House, Bartholomew Close, Barts Square, EC1A",51.5182071,-0.0985597999999999,1990000.0,EC1A 7BB,EC1A 7,36.0,42300.0
"The Gallery, 38 Ludgate Hill, London, EC4M",51.5140192,-0.1017295,899000.0,EC4M 7DE,EC4M 7,50.0,42300.0
"Sugar Quay, 1 Water Lane, London, EC3R",51.50867830000001,-0.0809694,725000.0,EC3R 6AP,EC3R 6,36.0,45100.0
"10 Hosier Lane, London",51.5176379,-0.1026897,835000.0,EC1A 9LQ,EC1A 9,37.0,42300.0
"47 Bartholomew Cl, Barbican, London, EC1A",51.518778,-0.0988064999999999,479500.0,EC1A 7BF,EC1A 7,42.0,42300.0
"34.02 One Bishopsgate Plaza, 150 Bishopsgate, City of London, EC3A",51.5167837,-0.0813087,900000.0,EC2M 7PP,EC2M 7,55.0,46800.0
"St Dunstans House, 133-137 Fetter Lane, London, EC4A",51.51491610000001,-0.1100122,3820000.0,EC4A 1BT,EC4A 1,36.0,70900.0
"22.11, One Bishopsgate Plaza, 150 Bishopsgate, City of London, EC3A.",51.5167837,-0.0813087,1100000.0,EC2M 7PP,EC2M 7,37.0,46800.0
"St Dunstans House, 133-137 Fetter Lane, London, EC4A",51.51491610000001,-0.1100122,1325000.0,EC4A 1BT,EC4A 1,35.0,70900.0
"St Dunstans House, 133-137 Fetter Lane, London, EC4A",51.51491610000001,-0.1100122,1600000.0,EC4A 1BT,EC4A 1,38.0,70900.0
"Moss Road, Dagenham",51.5389105,0.1537678,965000.0,RM10 9RE,RM10 9,36.0,75500.0
"Boundary Road West, Barking",51.5309866,0.0814531,350000.0,IG11 7LH,IG11 7,35.0,77300.0
"Central House, 14 Cambridge Road, Barking, Essex, IG11",51.5392249,0.0799173,260000.0,IG11 8NZ,IG11 8,42.0,71500.0
"Flat 1,Sandy House,1 Sackett Road,BarkingIG11 0WN",51.5198985,0.1062855,240000.0,IG11 0WR,IG11 0,46.0,58200.0
"Flat 1,Sandy House,1 Sackett Road,BarkingIG11 0WN",51.5198985,0.1062855,262995.0,IG11 0WR,IG11 0,35.0,58200.0
"Flat 1,Sandy House,1 Sackett Road,BarkingIG11 0WN",51.5198985,0.1062855,329995.0,IG11 0WR,IG11 0,37.0,58200.0
"Flat 1,Sandy House,1 Sackett Road,BarkingIG11 0WN",51.5198985,0.1062855,343995.0,IG11 0WR,IG11 0,36.0,58200.0
"John Burns Drive, Barking, IG11",51.5364068,0.0950339,406995.0,IG11 9RJ,IG11 9,42.0,38400.0
"Hamleton Terrace, Dagenham, RM9",51.5412174,0.135212,200000.0,RM9 5SA,RM9 5,35.0,75500.0
"Dawson Avenue, IG11 9QQ",51.5365596,0.1004903,460000.0,IG11 9QJ,IG11 9,39.0,58200.0
"Pedley House, 16 Ripplegate Walk, Barking, IG11",51.5236293,0.120051,400000.0,IG11 0WZ,IG11 0,36.0,74000.0
"Bath House, 5 Arboretum Place, Barking, Essex, IG11",51.5367468,0.0793668,300000.0,IG11 7FX,IG11 7,64.0,65900.0
"Sackett Road, Barking",51.5197295,0.1061451,250000.0,IG11 0WR,IG11 0,31.0,58200.0
"High Road, Chadwell Heath, Essex",51.5717662,0.1359656,235000.0,RM6 6PB,RM6 6,38.0,58900.0
"High Road, Chadwell Heath, RM6",51.5700004,0.1271855,415000.0,RM6 4BB,RM6 4,47.0,55100.0
"Dagenham road, Romford, RM7",51.5601585,0.1754547,415000.0,RM7 0TR,RM7 0,39.0,50400.0
"Ashton Gardens, Chadwell Heath, RM6",51.5733724,0.13991,240000.0,RM6 6LU,RM6 6,39.0,58900.0
"Grafton Road, Dagenham, RM8",51.5584637,0.1395297,875000.0,RM8 3EU,RM8 3,64.0,66400.0
"Westminster Gardens, Barking, IG11",51.5279867,0.0898363,230000.0,IG11 0BL,IG11 0,38.0,77300.0
"Bowery Court, St Mark`s Place, Dagenham, Essex, RM10",51.54337169999999,0.1581831,475000.0,RM10 8GJ,RM10 8,55.0,68500.0
"Fielders Crescent, Barking",51.5230564,0.1208009,200000.0,IG11 0ZQ,IG11 0,38.0,74000.0
"Second Avenue, Dagenham",51.5295553,0.1596905,260000.0,RM10 9DX,RM10 9,39.0,52500.0
"Mason Apartments, Rainham Road North, Dagenham, London, RM10",51.5599947,0.1549985,360000.0,RM10 7FX,RM10 7,39.0,58900.0
"Treswell Road, Dagenham, RM9",51.5343647,0.1396369,290000.0,RM9 6XL,RM9 6,37.0,75500.0
"Stern Close, Barking, IG11",51.5279168,0.1192115,415000.0,IG11 0XW,IG11 0,37.0,66300.0
"Verney Gardens, Dagenham",51.5502656,0.1362123,350000.0,RM9 5LR,RM9 5,37.0,66400.0
"Stamford Road, Dagenham",51.5364466,0.1198962,400000.0,RM9 4HR,RM9 4,47.0,66300.0
"Abbey Road, BARKING",51.5338626,0.0751429,500000.0,IG11 7BZ,IG11 7,55.0,65900.0
Abbey RoadBarkingIG11 7ZQ,51.5338626,0.0751429,350000.0,IG11 7BZ,IG11 7,37.0,65900.0
"Bakery Close, Marks Gate, RM6",51.5901971,0.1424532,263000.0,RM6 5LB,RM6 5,64.0,54100.0
"Stern Close, Barking, IG11",51.5279168,0.1192115,475000.0,IG11 0XW,IG11 0,35.0,66300.0
Abbey RoadBarkingIG11 7ZQ,51.5338626,0.0751429,260000.0,IG11 7BZ,IG11 7,35.0,65900.0
"Marston Avenue, Dagenham",51.555039,0.149602,335200.0,RM10 7LH,RM10 7,50.0,66400.0
"Scholars Way, Dagenham, RM8",51.5507005,0.1116528,375000.0,RM8 2FN,RM8 2,37.0,60000.0
"Benedicts Wharf, Highbridge Road, Barking, Essex, IG11",51.5345711,0.0735627,500000.0,IG11 7ZJ,IG11 7,44.0,65900.0
"Connor Road, Dagenham",51.5526788,0.1449331,220000.0,RM9 5UL,RM9 5,42.0,66400.0
"Chelmer Crescent, Barking, Essex",51.5276815,0.1124131,550000.0,IG11 0QL,IG11 0,64.0,58200.0
"Hamden Crescent, Dagenham",51.5558686,0.156085,380000.0,RM10 7HP,RM10 7,37.0,47000.0
"Sutton Gardens, Barking, IG11",51.5313735,0.0948233,400000.0,IG11 7XU,IG11 7,35.0,38400.0
"Eustace Road, Chadwell Heath, RM6",51.5694399,0.1323176,230000.0,RM6 6JL,RM6 6,44.0,55100.0
"Wanderer Drive, Barking, IG11",51.5263701,0.1179284,400000.0,IG11 0XJ,IG11 0,39.0,74000.0
"Longbridge Road, Barking, Essex, IG11",51.5402405,0.0824939,350000.0,IG11 8RY,IG11 8,44.0,71500.0
"Goresway, Romford, Essex, RM7",51.5615315,0.1802177,260000.0,RM7 0SB,RM7 0,42.0,59000.0
"Chadville Gardens, Romford",51.577311,0.1309635,530000.0,RM6 5UB,RM6 5,50.0,55100.0
"Bonham Road, Dagenham",51.5570223,0.1312568,440000.0,RM8 3BL,RM8 3,64.0,66400.0
"Netherfield Gardens, Barking, Essex",51.5401034,0.0878812,350000.0,IG11 9XN,IG11 9,46.0,38400.0
"Champness Road, Barking, IG11",51.5404056,0.097792,500000.0,IG11 9PD,IG11 9,35.0,80600.0
"Harts Lane, Barking, IG11",51.5414506,0.0726712,290000.0,IG11 8NA,IG11 8,42.0,71500.0
"Padnall Road, Romford, RM6",51.5821844,0.13404,300000.0,RM6 5BJ,RM6 5,37.0,54100.0
"Burdetts Road, Dagenham, RM9",51.5327526,0.1424078,435000.0,RM9 6YA,RM9 6,39.0,75500.0
"Rugby Road, Dagenham",51.5402054,0.1195933,350000.0,RM9 4BA,RM9 4,36.0,66300.0
"Lansbury Avenue, Romford, RM6",51.5771216,0.1392264,350000.0,RM6 6SD,RM6 6,37.0,54100.0
"Keir Hardie Way, Barking",51.536907,0.1088767,450000.0,IG11 9NL,IG11 9,42.0,58200.0
"Joyners Close, Dagenham, RM9",51.5527741,0.1436976,425000.0,RM9 5AL,RM9 5,44.0,66400.0
"Wood Lane, Dagenham, Essex",51.5555125,0.1448946,450000.0,RM9 5TD,RM9 5,47.0,66400.0
"Wood Lane, Dagenham, Essex",51.5555125,0.1448946,145500.0,RM9 5TD,RM9 5,36.0,66400.0
"Bonham Road, Dagenham",51.5570223,0.1312568,220000.0,RM8 3BL,RM8 3,39.0,66400.0
"Chaplin Road, Dagenham",51.5378103,0.1369226,400000.0,RM9 6EL,RM9 6,47.0,75500.0
"St. Georges Road, Dagenham, RM9",51.5499304,0.1391514,350000.0,RM9 5JB,RM9 5,36.0,66400.0
"Cambridge Road, Barking, IG11",51.5392414,0.0796409,350000.0,IG11 8NZ,IG11 8,36.0,71500.0
Abbey RoadBarkingIG11 7ZQ,51.5338626,0.0751429,200000.0,IG11 7BZ,IG11 7,47.0,65900.0
Abbey RoadBarkingIG11 7ZQ,51.5338626,0.0751429,456000.0,IG11 7BZ,IG11 7,38.0,65900.0
"Heathway, Dagenham, RM10",51.5446974,0.1479694,423000.0,RM10 8NJ,RM10 8,38.0,75500.0
"Oval Road North, Dagenham",51.5321082,0.1601227,300000.0,RM10 9ER,RM10 9,35.0,52500.0
"Joan Gardens, Dagenham",51.5620878,0.1362505,350000.0,RM8 1QU,RM8 1,35.0,66400.0
"Gay Gardens, Dagenham",51.5480535,0.1649821,390000.0,RM10 7TB,RM10 7,39.0,73000.0
"Roberts Close, Barking, IG11",51.5426724,0.0765631,475000.0,IG11 8QJ,IG11 8,42.0,71500.0
